Doping,Doping concentration,Al_thick,%Al,Ion (mA/mm),GMmax (mS/mm),Vth(V)
0,4.00E+17,0.017,0.29,244.793,102.088,-2.934
0,4.00E+17,0.017,0.31,284.9335,106.664,-3.238
0,4.00E+17,0.019,0.15,48.75435,60.592,-1.066
0,4.00E+17,0.019,0.17,70.94565,66.764,-1.398
0,4.00E+17,0.019,0.19,97.38925,72.712,-1.721
0,4.00E+17,0.019,0.21,128.0565,78.4,-2.066
0,4.00E+17,0.019,0.23,162.818,83.792,-2.407
0,4.00E+17,0.019,0.25,201.2645,89.17,-2.736
0,4.00E+17,0.019,0.27,242.4115,94.616,-3.099
0,4.00E+17,0.019,0.29,284.097,99.232,-3.444
0,4.00E+17,0.019,0.31,319.784,103.584,-3.798
0,4.00E+17,0.021,0.15,61.61335,59.508,-1.336
0,4.00E+17,0.021,0.17,87.4774,65.416,-1.695
0,4.00E+17,0.021,0.19,117.902,71.144,-2.066
0,4.00E+17,0.021,0.21,152.7315,76.474,-2.435
0,4.00E+17,0.021,0.23,191.4925,81.812,-2.811
0,4.00E+17,0.021,0.25,232.9265,87.2,-3.189
0,4.00E+17,0.021,0.27,274.607,92.188,-3.576
0,4.00E+17,0.021,0.29,313.884,96.596,-3.957
0,4.00E+17,0.021,0.31,340.8635,100.74,-4.358
0,4.00E+17,0.023,0.15,74.8037,54.0344,-1.609
0,4.00E+17,0.023,0.17,104.367,62.1012,-1.993
0,4.00E+17,0.023,0.19,138.701,69.444,-2.408
0,4.00E+17,0.023,0.21,177.443,75.36,-2.812
0,4.00E+17,0.023,0.23,219.326,80.508,-3.216
0,4.00E+17,0.023,0.25,261.413,85.396,-3.641
0,4.00E+17,0.023,0.27,300.554,90.132,-4.055
0,4.00E+17,0.023,0.29,335.685,94.344,-4.473
0,4.00E+17,0.023,0.31,353.916,98.24,-4.912
0,4.00E+17,0.025,0.15,88.5395,55.1492,-1.884
0,4.00E+17,0.025,0.17,121.531,62.588,-2.313
0,4.00E+17,0.025,0.19,159.308,68.696,-2.739
0,4.00E+17,0.025,0.21,200.609,73.816,-3.189
0,4.00E+17,0.025,0.23,242.323,78.688,-3.639
0,4.00E+17,0.025,0.25,281.25,83.556,-4.09
0,4.00E+17,0.025,0.27,316.868,87.968,-4.538
0,4.00E+17,0.025,0.29,349.35,92.02,-4.991
0,4.00E+17,0.025,0.31,362.219,95.72,-5.464
0,4.00E+17,0.027,0.15,102.502,55.7928,-2.161
0,4.00E+17,0.027,0.17,138.681,62.272,-2.629
0,4.00E+17,0.027,0.19,179.025,67.32,-3.1
0,4.00E+17,0.027,0.21,220.477,72.36,-3.574
0,4.00E+17,0.027,0.23,259.386,77.204,-4.051
0,4.00E+17,0.027,0.25,295.19,81.732,-4.535
0,4.00E+17,0.027,0.27,328.624,85.96,-5.024
0,4.00E+17,0.027,0.29,359.462,89.852,-5.521
0,4.00E+17,0.027,0.31,368.487,93.32,-6.026
0,4.00E+17,0.029,0.15,116.562,55.896,-2.44
0,4.00E+17,0.029,0.17,155.396,61.248,-2.94
0,4.00E+17,0.029,0.19,196.606,66.268,-3.445
0,4.00E+17,0.029,0.21,235.713,71.048,-3.954
0,4.00E+17,0.029,0.23,271.7,75.616,-4.468
0,4.00E+17,0.029,0.25,305.517,79.972,-4.986
0,4.00E+17,0.029,0.27,337.566,84.084,-5.515
0,4.00E+17,0.029,0.29,367.328,87.916,-6.059
0,4.00E+17,0.029,0.31,373.581,91.32,-6.604
0,6.00E+17,0.015,0.15,27.00195,62.268,-0.589
0,6.00E+17,0.015,0.17,41.87995,68.8,-0.852
0,6.00E+17,0.015,0.19,60.17805,75.148,-1.117
0,6.00E+17,0.015,0.21,81.91615,81.304,-1.383
0,6.00E+17,0.015,0.23,107.09455,87.256,-1.651
0,6.00E+17,0.015,0.25,135.6515,92.976,-1.921
0,6.00E+17,0.015,0.27,167.4335,98.416,-2.192
0,6.00E+17,0.015,0.29,202.122,103.064,-2.465
0,6.00E+17,0.015,0.31,238.737,106.924,-2.739
0,6.00E+17,0.017,0.15,39.1216,61.016,-0.864
0,6.00E+17,0.017,0.17,57.86315,67.268,-1.158
0,6.00E+17,0.017,0.19,80.39175,73.336,-1.451
0,6.00E+17,0.017,0.21,106.7213,79.204,-1.743
0,6.00E+17,0.017,0.23,136.8085,84.856,-2.061
0,6.00E+17,0.017,0.25,170.5055,90.252,-2.373
0,6.00E+17,0.017,0.27,207.4295,95.41,-2.679
0,6.00E+17,0.017,0.29,246.737,100.408,-2.982
0,6.00E+17,0.017,0.31,283.4385,104.328,-3.311
0,6.00E+17,0.019,0.15,52.2033,59.872,-1.142
0,6.00E+17,0.019,0.17,74.7345,65.82,-1.464
0,6.00E+17,0.019,0.19,101.3994,71.692,-1.801
0,6.00E+17,0.019,0.21,132.1575,77.392,-2.142
0,6.00E+17,0.019,0.23,166.841,82.564,-2.471
0,6.00E+17,0.019,0.25,204.9565,87.684,-2.824
0,6.00E+17,0.019,0.27,245.3235,92.856,-3.17
0,6.00E+17,0.019,0.29,285.5535,97.6,-3.506
0,6.00E+17,0.019,0.31,313.4005,101.264,-3.88
0,6.00E+17,0.021,0.15,65.99705,58.808,-1.424
0,6.00E+17,0.021,0.17,92.24805,64.652,-1.783
0,6.00E+17,0.021,0.19,122.9075,70.308,-2.158
0,6.00E+17,0.021,0.21,157.784,75.556,-2.517
0,6.00E+17,0.021,0.23,196.2595,80.856,-2.904
0,6.00E+17,0.021,0.25,236.803,85.948,-3.272
0,6.00E+17,0.021,0.27,276.905,90.564,-3.666
0,6.00E+17,0.021,0.29,314.0465,95.056,-4.05
0,6.00E+17,0.021,0.31,330.176,98.5,-4.442
0,6.00E+17,0.023,0.15,80.2577,54.444,-1.71
0,6.00E+17,0.023,0.17,110.25,62.114,-2.116
0,6.00E+17,0.023,0.19,144.806,68.952,-2.501
0,6.00E+17,0.023,0.21,183.427,74.348,-2.921
0,6.00E+17,0.023,0.23,224.468,79.34,-3.333
0,6.00E+17,0.023,0.25,264.712,84.148,-3.735
0,6.00E+17,0.023,0.27,301.531,88.644,-4.167
0,6.00E+17,0.023,0.29,334.572,92.876,-4.593
0,6.00E+17,0.023,0.31,340.129,96.24,-5.005
0,6.00E+17,0.025,0.15,95.1134,55.4656,-1.998
0,6.00E+17,0.025,0.17,128.536,62.38,-2.439
0,6.00E+17,0.025,0.19,166.373,67.836,-2.881
0,6.00E+17,0.025,0.21,206.894,72.824,-3.319
0,6.00E+17,0.025,0.23,246.651,77.724,-3.75
0,6.00E+17,0.025,0.25,283.221,82.2,-4.21
0,6.00E+17,0.025,0.27,316.93,86.608,-4.672
0,6.00E+17,0.025,0.29,347.569,90.668,-5.136
0,6.00E+17,0.025,0.31,347.249,93.968,-5.603
0,6.00E+17,0.027,0.15,110.255,55.9376,-2.309
0,6.00E+17,0.027,0.17,146.754,61.532,-2.767
0,6.00E+17,0.027,0.19,186.553,66.648,-3.236
0,6.00E+17,0.027,0.21,226.049,71.512,-3.716
0,6.00E+17,0.027,0.23,262.47,76.084,-4.2
0,6.00E+17,0.027,0.25,296.345,80.464,-4.688
0,6.00E+17,0.027,0.27,328.145,84.712,-5.182
0,6.00E+17,0.027,0.29,357.298,88.596,-5.68
0,6.00E+17,0.027,0.31,352.984,91.76,-6.183
0,6.00E+17,0.029,0.15,125.489,55.676,-2.617
0,6.00E+17,0.029,0.17,164.19,60.652,-3.118
0,6.00E+17,0.029,0.19,203.593,65.48,-3.623
0,6.00E+17,0.029,0.21,240.08,70.092,-4.134
0,6.00E+17,0.029,0.23,273.998,74.628,-4.65
0,6.00E+17,0.029,0.25,306.18,78.916,-5.17
0,6.00E+17,0.029,0.27,336.777,82.944,-5.696
0,6.00E+17,0.029,0.29,364.956,86.632,-6.225
0,6.00E+17,0.029,0.31,357.933,89.576,-6.763
0,8.00E+17,0.015,0.15,29.044,61.98,-0.636
0,8.00E+17,0.015,0.17,44.2773,68.432,-0.897
0,8.00E+17,0.015,0.19,62.87135,74.7,-1.161
0,8.00E+17,0.015,0.21,84.84825,80.776,-1.426
0,8.00E+17,0.015,0.23,110.2046,86.656,-1.692
0,8.00E+17,0.015,0.25,138.8695,92.288,-1.96
0,8.00E+17,0.015,0.27,170.6745,97.644,-2.23
0,8.00E+17,0.015,0.29,205.2675,102.21,-2.502
0,8.00E+17,0.015,0.31,241.0615,105.916,-2.796
0,8.00E+17,0.017,0.15,41.992,60.772,-0.92
0,8.00E+17,0.017,0.17,61.1491,66.908,-1.21
0,8.00E+17,0.017,0.19,84.03055,72.884,-1.5
0,8.00E+17,0.017,0.21,110.64745,78.692,-1.817
0,8.00E+17,0.017,0.23,140.943,84.316,-2.125
0,8.00E+17,0.017,0.25,174.746,89.348,-2.428
0,8.00E+17,0.017,0.27,211.619,94.552,-2.728
0,8.00E+17,0.017,0.29,250.5805,99.616,-3.051
0,8.00E+17,0.017,0.31,283.4725,102.868,-3.376
0,8.00E+17,0.019,0.15,55.9976,59.736,-1.209
0,8.00E+17,0.019,0.17,79.01385,65.68,-1.541
0,8.00E+17,0.019,0.19,106.0892,71.444,-1.881
0,8.00E+17,0.019,0.21,137.1655,76.996,-2.208
0,8.00E+17,0.019,0.23,172.0365,82.166,-2.551
0,8.00E+17,0.019,0.25,210.1075,87.32,-2.9
0,8.00E+17,0.019,0.27,249.981,92.3,-3.232
0,8.00E+17,0.019,0.29,289.1085,96.84,-3.599
0,8.00E+17,0.019,0.31,309.4765,100.1,-3.947
0,8.00E+17,0.021,0.15,70.8181,58.78,-1.503
0,8.00E+17,0.021,0.17,97.6246,64.496,-1.882
0,8.00E+17,0.021,0.19,128.7325,69.944,-2.236
0,8.00E+17,0.021,0.21,163.8895,75.154,-2.621
0,8.00E+17,0.021,0.23,202.3165,80.476,-2.982
0,8.00E+17,0.021,0.25,242.2045,85.288,-3.376
0,8.00E+17,0.021,0.27,281.0745,89.976,-3.742
0,8.00E+17,0.021,0.29,316.5515,94.3,-4.147
0,8.00E+17,0.021,0.31,323.7555,97.484,-4.528
0,8.00E+17,0.023,0.15,86.2286,55.1604,-1.824
0,8.00E+17,0.023,0.17,116.832,62.512,-2.215
0,8.00E+17,0.023,0.19,151.82,68.872,-2.627
0,8.00E+17,0.023,0.21,190.507,73.98,-3.021
0,8.00E+17,0.023,0.23,230.8,78.848,-3.438
0,8.00E+17,0.023,0.25,269.389,83.616,-3.859
0,8.00E+17,0.023,0.27,304.57,88.02,-4.264
0,8.00E+17,0.023,0.29,336.059,92.068,-4.696
0,8.00E+17,0.023,0.31,332.298,94.992,-5.133
0,8.00E+17,0.025,0.15,102.289,56.0672,-2.14
0,8.00E+17,0.025,0.17,136.318,62.48,-2.571
0,8.00E+17,0.025,0.19,174.343,67.588,-2.994
0,8.00E+17,0.025,0.21,214.073,72.524,-3.445
0,8.00E+17,0.025,0.23,252.031,77.164,-3.896
0,8.00E+17,0.025,0.25,286.942,81.808,-4.347
0,8.00E+17,0.025,0.27,319.307,86.028,-4.797
0,8.00E+17,0.025,0.29,348.586,89.804,-5.247
0,8.00E+17,0.025,0.31,339.014,92.824,-5.72
0,8.00E+17,0.027,0.15,118.67,56.296,-2.455
0,8.00E+17,0.027,0.17,155.578,61.508,-2.925
0,8.00E+17,0.027,0.19,194.784,66.432,-3.399
0,8.00E+17,0.027,0.21,232.293,71.068,-3.876
0,8.00E+17,0.027,0.23,266.943,75.736,-4.357
0,8.00E+17,0.027,0.25,299.474,80.116,-4.843
0,8.00E+17,0.027,0.27,330.148,84.188,-5.335
0,8.00E+17,0.027,0.29,358.06,87.904,-5.833
0,8.00E+17,0.027,0.31,344.686,90.86,-6.337
0,8.00E+17,0.029,0.15,135.058,55.6,-2.783
0,8.00E+17,0.029,0.17,173.489,60.472,-3.283
0,8.00E+17,0.029,0.19,210.906,65.312,-3.789
0,8.00E+17,0.029,0.21,245.413,69.94,-4.302
0,8.00E+17,0.029,0.23,277.898,74.352,-4.821
0,8.00E+17,0.029,0.25,308.967,78.54,-5.346
0,8.00E+17,0.029,0.27,338.58,82.472,-5.876
0,8.00E+17,0.029,0.29,365.594,86.076,-6.409
0,8.00E+17,0.029,0.31,349.787,88.82,-6.945
0,1.00E+18,0.015,0.15,31.20675,62.02,-0.678
0,1.00E+18,0.015,0.17,46.8326,68.328,-0.939
0,1.00E+18,0.015,0.19,65.78305,74.564,-1.201
0,1.00E+18,0.015,0.21,88.07475,80.592,-1.465
0,1.00E+18,0.015,0.23,113.70425,86.416,-1.73
0,1.00E+18,0.015,0.25,142.5905,91.996,-1.997
0,1.00E+18,0.015,0.27,174.5505,97.288,-2.28
0,1.00E+18,0.015,0.29,209.209,101.908,-2.566
0,1.00E+18,0.015,0.31,244.1115,105.06,-2.85
0,1.00E+18,0.017,0.15,45.02125,60.912,-0.972
0,1.00E+18,0.017,0.17,64.64165,66.984,-1.266
0,1.00E+18,0.017,0.19,87.9423,72.892,-1.576
0,1.00E+18,0.017,0.21,114.92995,78.636,-1.88
0,1.00E+18,0.017,0.23,145.5345,84.184,-2.18
0,1.00E+18,0.017,0.25,179.5585,89.146,-2.478
0,1.00E+18,0.017,0.27,216.5035,93.974,-2.795
0,1.00E+18,0.017,0.29,255.2255,99.144,-3.118
0,1.00E+18,0.017,0.31,284.3545,101.924,-3.43
0,1.00E+18,0.019,0.15,60.00075,59.88,-1.284
0,1.00E+18,0.019,0.17,83.56095,65.724,-1.622
0,1.00E+18,0.019,0.19,111.1232,71.368,-1.948
0,1.00E+18,0.019,0.21,142.6105,76.776,-2.282
0,1.00E+18,0.019,0.23,177.767,81.98,-2.632
0,1.00E+18,0.019,0.25,215.882,87.208,-2.964
0,1.00E+18,0.019,0.27,255.3275,92.02,-3.319
0,1.00E+18,0.019,0.29,293.466,96.332,-3.671
0,1.00E+18,0.019,0.31,307.4145,98.972,-4.012
0,1.00E+18,0.021,0.15,75.90075,58.904,-1.609
0,1.00E+18,0.021,0.17,103.3285,64.444,-1.964
0,1.00E+18,0.021,0.19,134.963,69.656,-2.34
0,1.00E+18,0.021,0.21,170.4725,74.85,-2.704
0,1.00E+18,0.021,0.23,208.8845,80.228,-3.087
0,1.00E+18,0.021,0.25,248.1495,85.104,-3.458
0,1.00E+18,0.021,0.27,285.933,89.74,-3.851
0,1.00E+18,0.021,0.29,319.94,93.816,-4.225
0,1.00E+18,0.021,0.31,320.2575,96.592,-4.631
0,1.00E+18,0.023,0.15,92.5198,55.982,-1.931
0,1.00E+18,0.023,0.17,123.777,62.996,-2.332
0,1.00E+18,0.023,0.19,159.286,68.872,-2.724
0,1.00E+18,0.023,0.21,198.027,73.836,-3.141
0,1.00E+18,0.023,0.23,237.463,78.76,-3.546
0,1.00E+18,0.023,0.25,274.573,83.344,-3.959
0,1.00E+18,0.023,0.27,308.449,87.78,-4.388
0,1.00E+18,0.023,0.29,338.667,91.776,-4.808
0,1.00E+18,0.023,0.31,327.995,94.44,-5.228
0,1.00E+18,0.025,0.15,109.828,56.7404,-2.256
0,1.00E+18,0.025,0.17,144.497,62.58,-2.696
0,1.00E+18,0.025,0.19,182.635,67.588,-3.138
0,1.00E+18,0.025,0.21,221.454,72.444,-3.578
0,1.00E+18,0.025,0.23,257.722,77.18,-4.011
0,1.00E+18,0.025,0.25,291.331,81.536,-4.466
0,1.00E+18,0.025,0.27,322.662,85.756,-4.929
0,1.00E+18,0.025,0.29,350.827,89.668,-5.394
0,1.00E+18,0.025,0.31,334.664,92.164,-5.861
0,1.00E+18,0.027,0.15,127.421,56.564,-2.612
0,1.00E+18,0.027,0.17,164.642,61.54,-3.077
0,1.00E+18,0.027,0.19,202.86,66.42,-3.543
0,1.00E+18,0.027,0.21,238.606,71.18,-4.012
0,1.00E+18,0.027,0.23,271.884,75.668,-4.492
0,1.00E+18,0.027,0.25,303.397,79.88,-4.981
0,1.00E+18,0.027,0.27,333.221,83.832,-5.475
0,1.00E+18,0.027,0.29,360.112,87.588,-5.973
0,1.00E+18,0.027,0.31,340.529,90.204,-6.476
0,1.00E+18,0.029,0.15,144.855,55.76,-2.956
0,1.00E+18,0.029,0.17,182.505,60.688,-3.456
0,1.00E+18,0.029,0.19,217.992,65.412,-3.961
0,1.00E+18,0.029,0.21,250.974,69.932,-4.47
0,1.00E+18,0.029,0.23,282.39,74.248,-4.984
0,1.00E+18,0.029,0.25,312.632,78.348,-5.504
0,1.00E+18,0.029,0.27,341.511,82.204,-6.042
0,1.00E+18,0.029,0.29,367.563,85.756,-6.583
0,1.00E+18,0.029,0.31,345.947,88.388,-7.126
0,2.00E+18,0.015,0.15,43.22575,63.332,-0.914
0,2.00E+18,0.015,0.17,60.94615,69.52,-1.174
0,2.00E+18,0.015,0.19,81.88355,75.536,-1.437
0,2.00E+18,0.015,0.21,106.0613,81.376,-1.701
0,2.00E+18,0.015,0.23,133.446,87.016,-1.967
0,2.00E+18,0.015,0.25,163.925,92.42,-2.234
0,2.00E+18,0.015,0.27,197.2165,97.186,-2.506
0,2.00E+18,0.015,0.29,232.715,101.624,-2.795
0,2.00E+18,0.015,0.31,262.1295,103.76,-3.082
0,2.00E+18,0.017,0.15,61.7737,62.352,-1.271
0,2.00E+18,0.017,0.17,83.90825,68.228,-1.577
0,2.00E+18,0.017,0.19,109.5975,73.948,-1.877
0,2.00E+18,0.017,0.21,138.808,79.5,-2.175
0,2.00E+18,0.017,0.23,171.391,84.572,-2.471
0,2.00E+18,0.017,0.25,206.9275,89.476,-2.78
0,2.00E+18,0.017,0.27,244.468,94.796,-3.102
0,2.00E+18,0.017,0.29,281.7915,99.128,-3.415
0,2.00E+18,0.017,0.31,294.45,100.7,-3.721
0,2.00E+18,0.019,0.15,82.0663,61.312,-1.663
0,2.00E+18,0.019,0.17,108.57155,66.876,-1.982
0,2.00E+18,0.019,0.19,138.851,72.188,-2.327
0,2.00E+18,0.019,0.21,172.657,77.512,-2.663
0,2.00E+18,0.019,0.23,209.2785,82.912,-2.989
0,2.00E+18,0.019,0.25,247.1265,87.744,-3.349
0,2.00E+18,0.019,0.27,284.092,92.26,-3.69
0,2.00E+18,0.019,0.29,317.412,96.636,-4.039
0,2.00E+18,0.019,0.31,311.3405,98.264,-4.402
0,2.00E+18,0.021,0.15,103.80435,60.472,-2.061
0,2.00E+18,0.021,0.17,134.485,65.72,-2.425
0,2.00E+18,0.021,0.19,168.747,70.988,-2.789
0,2.00E+18,0.021,0.21,205.446,76.2,-3.166
0,2.00E+18,0.021,0.23,242.552,81.116,-3.534
0,2.00E+18,0.021,0.25,278.205,85.64,-3.92
0,2.00E+18,0.021,0.27,311.159,90.204,-4.301
0,2.00E+18,0.021,0.29,339.7785,94.108,-4.69
0,2.00E+18,0.021,0.31,322.717,95.844,-5.087
0,2.00E+18,0.023,0.15,126.791,59.728,-2.471
0,2.00E+18,0.023,0.17,161.279,65.024,-2.879
0,2.00E+18,0.023,0.19,198.14,70.004,-3.27
0,2.00E+18,0.023,0.21,234.551,74.936,-3.684
0,2.00E+18,0.023,0.23,268.542,79.612,-4.099
0,2.00E+18,0.023,0.25,300.418,84.088,-4.497
0,2.00E+18,0.023,0.27,330.267,88.232,-4.931
0,2.00E+18,0.023,0.29,355.907,92.132,-5.36
0,2.00E+18,0.023,0.31,330.245,93.632,-5.779
0,2.00E+18,0.025,0.15,150.165,59.04,-2.912
0,2.00E+18,0.025,0.17,186.165,64.008,-3.346
0,2.00E+18,0.025,0.19,221.01,68.864,-3.772
0,2.00E+18,0.025,0.21,253.66,73.588,-4.215
0,2.00E+18,0.025,0.23,284.74,77.94,-4.669
0,2.00E+18,0.025,0.25,314.56,82.368,-5.123
0,2.00E+18,0.025,0.27,342.862,86.38,-5.577
0,2.00E+18,0.025,0.29,366.941,89.932,-6.031
0,2.00E+18,0.025,0.31,338.203,91.772,-6.492
0,2.00E+18,0.027,0.15,171.63,58.284,-3.364
0,2.00E+18,0.027,0.17,205.203,63.052,-3.828
0,2.00E+18,0.027,0.19,236.741,67.76,-4.295
0,2.00E+18,0.027,0.21,267.05,72.328,-4.765
0,2.00E+18,0.027,0.23,296.547,76.628,-5.244
0,2.00E+18,0.027,0.25,325.226,80.664,-5.733
0,2.00E+18,0.027,0.27,352.627,84.472,-6.228
0,2.00E+18,0.027,0.29,375.723,88.032,-6.727
0,2.00E+18,0.027,0.31,345.543,89.904,-7.23
0,2.00E+18,0.029,0.15,187.971,57.56,-3.828
0,2.00E+18,0.029,0.17,218.574,62.18,-4.329
0,2.00E+18,0.029,0.19,248.143,66.696,-4.835
0,2.00E+18,0.029,0.21,277.162,71.096,-5.347
0,2.00E+18,0.029,0.23,305.757,75.288,-5.865
0,2.00E+18,0.029,0.25,333.758,79.256,-6.388
0,2.00E+18,0.029,0.27,360.599,82.96,-6.916
0,2.00E+18,0.029,0.29,383.049,86.308,-7.447
0,2.00E+18,0.029,0.31,352.393,88.12,-7.982
0,4.00E+18,0.015,0.15,71.8118,67.108,-1.384
0,4.00E+18,0.015,0.17,93.6829,73.064,-1.645
0,4.00E+18,0.015,0.19,118.6854,78.872,-1.908
0,4.00E+18,0.015,0.21,146.7975,84.512,-2.173
0,4.00E+18,0.015,0.23,177.906,89.572,-2.439
0,4.00E+18,0.015,0.25,211.6985,94.902,-2.708
0,4.00E+18,0.015,0.27,247.5085,100.156,-2.978
0,4.00E+18,0.015,0.29,283.544,104.684,-3.249
0,4.00E+18,0.015,0.31,299.6145,106.112,-3.543
0,4.00E+18,0.017,0.15,101.1095,66.124,-1.881
0,4.00E+18,0.017,0.17,128.1995,71.784,-2.174
0,4.00E+18,0.017,0.19,158.5945,77.13,-2.465
0,4.00E+18,0.017,0.21,191.9905,82.352,-2.762
0,4.00E+18,0.017,0.23,227.6345,87.808,-3.081
0,4.00E+18,0.017,0.25,264.0355,92.708,-3.39
0,4.00E+18,0.017,0.27,299.519,97.412,-3.695
0,4.00E+18,0.017,0.29,330.9165,101.78,-3.997
0,4.00E+18,0.017,0.31,325.1195,103.296,-4.334
0,4.00E+18,0.019,0.15,133.231,65.08,-2.41
0,4.00E+18,0.019,0.17,165.0295,70.436,-2.729
0,4.00E+18,0.019,0.19,199.306,75.796,-3.073
0,4.00E+18,0.019,0.21,234.5425,81,-3.41
0,4.00E+18,0.019,0.23,269.2665,86.008,-3.737
0,4.00E+18,0.019,0.25,302.249,90.716,-4.097
0,4.00E+18,0.019,0.27,332.982,95.02,-4.439
0,4.00E+18,0.019,0.29,358.672,99.184,-4.787
0,4.00E+18,0.019,0.31,341.4505,100.776,-5.151
0,4.00E+18,0.021,0.15,166.4185,64.32,-2.967
0,4.00E+18,0.021,0.17,200.0145,69.556,-3.34
0,4.00E+18,0.021,0.19,233.3995,74.66,-3.701
0,4.00E+18,0.021,0.21,265.5245,79.488,-4.078
0,4.00E+18,0.021,0.23,296.3075,84.2,-4.449
0,4.00E+18,0.021,0.25,325.8685,88.78,-4.835
0,4.00E+18,0.021,0.27,353.8915,92.824,-5.211
0,4.00E+18,0.021,0.29,376.6405,96.836,-5.61
0,4.00E+18,0.021,0.31,354.268,98.424,-5.986
0,4.00E+18,0.023,0.15,196.682,63.756,-3.571
0,4.00E+18,0.023,0.17,227.524,68.768,-3.963
0,4.00E+18,0.023,0.19,257.307,73.504,-4.375
0,4.00E+18,0.023,0.21,286.464,78.296,-4.769
0,4.00E+18,0.023,0.23,315.118,82.656,-5.188
0,4.00E+18,0.023,0.25,343.09,87.092,-5.609
0,4.00E+18,0.023,0.27,369.794,91.012,-6.016
0,4.00E+18,0.023,0.29,390.568,94.7,-6.449
0,4.00E+18,0.023,0.31,363.759,96.144,-6.887
0,4.00E+18,0.025,0.15,215.933,63.044,-4.197
0,4.00E+18,0.025,0.17,244.163,67.804,-4.636
0,4.00E+18,0.025,0.19,272.198,72.428,-5.071
0,4.00E+18,0.025,0.21,300.13,76.972,-5.498
0,4.00E+18,0.025,0.23,327.87,81.16,-5.955
0,4.00E+18,0.025,0.25,355.113,85.36,-6.413
0,4.00E+18,0.025,0.27,381.173,89.232,-6.873
0,4.00E+18,0.025,0.29,401.034,92.624,-7.334
0,4.00E+18,0.025,0.31,373.408,94.312,-7.797
0,4.00E+18,0.027,0.15,228.935,62.36,-4.867
0,4.00E+18,0.027,0.17,256.063,66.856,-5.332
0,4.00E+18,0.027,0.19,283.329,71.428,-5.8
0,4.00E+18,0.027,0.21,310.694,75.752,-6.271
0,4.00E+18,0.027,0.23,337.991,79.832,-6.748
0,4.00E+18,0.027,0.25,364.858,83.66,-7.239
0,4.00E+18,0.027,0.27,390.564,87.4,-7.734
0,4.00E+18,0.027,0.29,409.884,90.744,-8.234
0,4.00E+18,0.027,0.31,382.153,92.404,-8.738
0,4.00E+18,0.029,0.15,238.515,61.64,-5.559
0,4.00E+18,0.029,0.17,265.2,66.12,-6.06
0,4.00E+18,0.029,0.19,292.154,70.456,-6.567
0,4.00E+18,0.029,0.21,319.285,74.612,-7.081
0,4.00E+18,0.029,0.23,346.392,78.588,-7.601
0,4.00E+18,0.029,0.25,373.089,82.352,-8.126
0,4.00E+18,0.029,0.27,398.615,85.868,-8.656
0,4.00E+18,0.029,0.29,417.627,89.04,-9.189
0,4.00E+18,0.029,0.31,390.175,90.556,-9.725
0,6.00E+18,0.015,0.15,105.3601,70.756,-1.851
0,6.00E+18,0.015,0.17,131.152,76.536,-2.113
0,6.00E+18,0.015,0.19,159.9515,81.786,-2.377
0,6.00E+18,0.015,0.21,191.5945,87.498,-2.643
0,6.00E+18,0.015,0.23,225.674,93.012,-2.911
0,6.00E+18,0.015,0.25,261.2575,98.128,-3.18
0,6.00E+18,0.015,0.27,296.848,102.968,-3.451
0,6.00E+18,0.015,0.29,329.797,107.428,-3.724
0,6.00E+18,0.015,0.31,333.7175,108.996,-3.998
0,6.00E+18,0.017,0.15,146.4285,69.686,-2.469
0,6.00E+18,0.017,0.17,177.661,75.172,-2.761
0,6.00E+18,0.017,0.19,211.127,80.568,-3.072
0,6.00E+18,0.017,0.21,245.5715,85.844,-3.377
0,6.00E+18,0.017,0.23,279.809,90.968,-3.677
0,6.00E+18,0.017,0.25,312.654,95.876,-3.976
0,6.00E+18,0.017,0.27,343.4115,100.5,-4.294
0,6.00E+18,0.017,0.29,369.1605,104.668,-4.618
0,6.00E+18,0.017,0.31,357.501,106.428,-4.931
0,6.00E+18,0.019,0.15,188.593,68.996,-3.157
0,6.00E+18,0.019,0.17,221.005,74.232,-3.476
0,6.00E+18,0.019,0.19,252.945,79.284,-3.82
0,6.00E+18,0.019,0.21,283.852,84.284,-4.158
0,6.00E+18,0.019,0.23,313.794,89.188,-4.484
0,6.00E+18,0.019,0.25,342.76,93.816,-4.844
0,6.00E+18,0.019,0.27,370.3185,98.052,-5.188
0,6.00E+18,0.019,0.29,392.4515,101.992,-5.536
0,6.00E+18,0.019,0.31,374.442,103.76,-5.901
0,6.00E+18,0.021,0.15,221.067,68.248,-3.887
0,6.00E+18,0.021,0.17,249.9905,73.252,-4.237
0,6.00E+18,0.021,0.19,278.493,78.028,-4.62
0,6.00E+18,0.021,0.21,306.7495,82.908,-4.978
0,6.00E+18,0.021,0.23,334.7275,87.472,-5.369
0,6.00E+18,0.021,0.25,362.166,91.764,-5.734
0,6.00E+18,0.021,0.27,388.4285,95.992,-6.134
0,6.00E+18,0.021,0.29,408.8385,99.508,-6.505
0,6.00E+18,0.021,0.31,388.1765,101.34,-6.915
0,6.00E+18,0.023,0.15,241.774,67.64,-4.663
0,6.00E+18,0.023,0.17,268.865,72.364,-5.06
0,6.00E+18,0.023,0.19,296.115,77.104,-5.458
0,6.00E+18,0.023,0.21,323.472,81.6,-5.875
0,6.00E+18,0.023,0.23,350.755,86.004,-6.275
0,6.00E+18,0.023,0.25,377.595,90.108,-6.696
0,6.00E+18,0.023,0.27,403.254,94.092,-7.126
